Location,2020-21 Primary,2020-21 Upper Primary,2020-21 Secondary,2021-22 Primary,2021-22 Upper Primary,2021-22 Secondary
Andaman & Nicobar Islands,2.3,0.4,7.0,0.4,1.0,5.0
Andhra Pradesh,0.0,0.5,16.7,0.0,1.6,16.3
Arunachal Pradesh,8.1,7.1,10.1,9.3,6.7,11.7
Assam,3.3,4.9,30.3,6.0,8.8,20.3
Bihar,0.0,2.8,17.6,0.0,4.6,20.5
Chandigarh,0.0,0.4,0.0,0.0,0.0,0.0
Chhattisgarh,0.7,4.1,13.4,0.8,4.1,9.7
Dadra & Nagar Haveli,2.6,0.6,18.8,0.0,0.0,9.5
Daman & Diu,6.9,3.6,15.4,0.0,0.0,9.5
Delhi,0.0,1.1,6.1,0.0,0.0,4.8
Goa,1.5,0.8,5.7,0.0,0.0,9.0
Gujarat,1.0,4.5,23.3,0.0,5.0,17.9
Haryana,2.1,1.8,10.8,0.0,0.2,5.9
Himachal Pradesh,1.9,1.4,7.6,0.0,0.6,1.5
Jammu & Kashmir,4.4,3.4,3.7,4.0,3.0,6.0
Jharkhand,3.5,5.4,13.0,1.8,3.9,9.3
Karnataka,1.1,2.0,16.6,0.0,1.1,14.7
Kerala,0.0,0.0,7.1,0.0,0.0,5.5
Ladakh,4.1,2.1,3.4,6.5,1.1,4.9
Lakshadweep,0.0,0.0,0.0,0.5,2.6,0.0
Madhya Pradesh,1.3,6.4,23.8,3.1,8.8,10.1
Maharashtra,1.0,1.5,11.2,0.0,1.5,10.7
Manipur,8.5,4.0,9.4,13.3,5.6,1.3
Meghalaya,7.4,9.0,27.6,9.8,10.6,21.7
Mizoram,8.1,5.3,20.0,6.4,2.7,11.9
Nagaland,5.9,4.2,23.6,5.0,4.0,17.5
Odisha,0.0,0.0,16.0,0.0,7.3,27.3
Puducherry,0.0,0.0,6.9,3.7,2.4,6.3
Punjab,0.0,0.0,9.0,1.3,8.0,17.2
Rajasthan,1.0,2.7,8.9,3.6,4.3,7.7
Sikkim,1.2,0.0,21.6,1.8,0.0,11.9
Tamilnadu,0.6,0.6,6.4,0.0,0.0,4.5
Telangana,0.0,0.0,13.9,0.0,3.1,13.7
Tripura,4.2,5.5,26.7,1.1,4.5,8.3
Uttarakhand,1.7,2.1,8.3,0.8,2.7,5.0
Uttar Pradesh,2.2,4.6,12.5,2.7,2.9,9.7
West Bengal,0.0,0.0,13.3,8.6,0.0,18.0
India,0.8,2.3,14.0,1.5,3.0,12.6
